Comunidad Autónoma;Provincia;Sector Técnico;Subsector Técnico;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Andalucía;Almería;Ingeniería mecánica;Motores, bombas, turbinas;5;0;1;0;0;0;0;1;1;5
Andalucía;Almería;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Andalucía;Almería;Ingeniería mecánica;Otras máquinas especiales;3;0;6;4;5;3;6;4;0;7
Andalucía;Almería;Ingeniería mecánica;térmicos y aparatos;0;0;0;0;0;0;0;3;2;0
Andalucía;Almería;Ingeniería mecánica;Elementos mecánicos;1;0;1;0;1;0;0;0;0;2
Andalucía;Almería;Ingeniería mecánica;Transporte;10;1;1;2;0;3;2;2;1;7
Andalucía;Almería;Otros campos;Mobiliario, juegos;0;0;1;0;0;0;0;0;2;0
Andalucía;Almería;Otros campos;Otros bienes de consumo;0;1;0;1;0;0;2;1;2;3
Andalucía;Almería;Otros campos;Ingeniería civil;2;1;3;1;0;4;0;1;2;3
País Vasco;Araba/Álava;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;0;1;0;0;3;1;1;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Telecomunicaciones;1;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Tecnología Informática;0;0;0;2;0;0;1;0;1;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;0;0;1;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Semiconductores;1;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Instrumentos;Óptica;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Instrumentos;Medida;1;1;2;2;3;3;0;0;0;1
País Vasco;Araba/Álava;Instrumentos;Análisis de materiales biológicos;0;0;0;0;1;0;0;0;0;0
País Vasco;Araba/Álava;Instrumentos;Control;2;2;0;1;1;0;0;0;0;1
País Vasco;Araba/Álava;Instrumentos;Tecnología médica;1;4;4;3;2;4;2;3;2;1
País Vasco;Araba/Álava;Química;Química orgánica precisa;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Química;Biotecnología;0;1;1;0;0;0;0;2;0;0
País Vasco;Araba/Álava;Química;Productos Farmacéuticos;0;1;2;0;0;1;1;1;1;0
País Vasco;Araba/Álava;Química;Química macromolecular, polímeros;0;0;1;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Química;Química alimenticia;0;1;0;1;0;1;0;0;0;0
País Vasco;Araba/Álava;Química;Química de las materias primas;1;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Química;Materiales, metalurgia;0;1;0;0;0;1;1;0;0;0
País Vasco;Araba/Álava;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;0;0;1;0;0
País Vasco;Araba/Álava;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Química;Ingeniería química;0;1;1;2;0;1;1;0;0;0
País Vasco;Araba/Álava;Química;Tecnología ambiental;1;0;1;1;0;2;0;0;0;0
País Vasco;Araba/Álava;Ingeniería mecánica;Manipulación;2;0;3;2;1;2;0;3;7;1
País Vasco;Araba/Álava;Ingeniería mecánica;Herramientas;1;3;1;1;1;0;3;0;2;1
País Vasco;Araba/Álava;Ingeniería mecánica;Motores, bombas, turbinas;2;1;0;1;0;1;0;0;0;0
País Vasco;Araba/Álava;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;1;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería mecánica;Otras máquinas especiales;2;1;4;3;2;1;0;2;2;2
País Vasco;Araba/Álava;Ingeniería mecánica;térmicos y aparatos;3;0;1;1;0;1;0;0;0;0
País Vasco;Araba/Álava;Ingeniería mecánica;Elementos mecánicos;1;4;3;5;4;4;0;0;1;0
País Vasco;Araba/Álava;Ingeniería mecánica;Transporte;2;0;1;2;6;3;0;0;1;2
País Vasco;Araba/Álava;Otros campos;Mobiliario, juegos;2;2;1;1;0;0;0;0;0;0
País Vasco;Araba/Álava;Otros campos;Otros bienes de consumo;0;2;3;2;0;0;0;1;0;0
País Vasco;Araba/Álava;Otros campos;Ingeniería civil;4;2;3;3;6;2;1;2;3;2
Asturias;Asturias;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;2;1;2;1;0;0;0;0;1
Asturias;Asturias;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;1;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Telecomunicaciones;0;1;0;1;1;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Comunicación Digital;0;1;1;0;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Tecnología Informática;1;2;1;0;1;0;0;1;0;0
Asturias;Asturias;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Semiconductores;0;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Instrumentos;Óptica;0;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Instrumentos;Medida;5;2;1;3;1;2;1;2;5;1
Asturias;Asturias;Instrumentos;Análisis de materiales biológicos;2;0;0;1;0;2;1;1;0;0
Asturias;Asturias;Instrumentos;Control;0;2;1;2;1;1;1;0;0;1
Asturias;Asturias;Instrumentos;Tecnología médica;1;0;2;3;2;4;0;2;4;4
Asturias;Asturias;Química;Química orgánica precisa;2;1;1;0;0;1;0;0;1;0
Asturias;Asturias;Química;Biotecnología;0;1;1;2;1;2;1;3;2;0
Asturias;Asturias;Química;Productos Farmacéuticos;1;0;1;1;0;0;0;0;0;0
Asturias;Asturias;Química;Química macromolecular, polímeros;0;0;1;0;0;0;0;0;0;0
Asturias;Asturias;Química;Química alimenticia;3;0;5;0;2;1;1;1;2;0
Asturias;Asturias;Química;Química de las materias primas;0;0;0;1;1;1;0;0;0;0
Asturias;Asturias;Química;Materiales, metalurgia;4;1;0;0;1;1;1;0;0;0
Asturias;Asturias;Química;Tecnología de superficie, revestimiento;0;0;0;1;0;0;1;1;0;0
Asturias;Asturias;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Química;Ingeniería química;0;0;3;0;1;0;2;0;0;1
Asturias;Asturias;Química;Tecnología ambiental;3;0;2;1;0;0;0;0;0;4
Asturias;Asturias;Ingeniería mecánica;Manipulación;5;6;10;2;11;9;3;2;1;2
Asturias;Asturias;Ingeniería mecánica;Herramientas;2;0;1;0;4;0;0;0;0;0
Asturias;Asturias;Ingeniería mecánica;Motores, bombas, turbinas;0;0;0;0;6;2;1;1;1;1
Asturias;Asturias;Ingeniería mecánica;Máquinas del textil y del papel;1;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Ingeniería mecánica;Otras máquinas especiales;3;0;0;1;2;1;0;2;2;1
Asturias;Asturias;Ingeniería mecánica;térmicos y aparatos;0;1;3;3;1;1;2;1;2;0
Asturias;Asturias;Ingeniería mecánica;Elementos mecánicos;1;2;0;1;1;1;1;1;0;1
Asturias;Asturias;Ingeniería mecánica;Transporte;3;5;4;4;3;0;2;1;0;2
Asturias;Asturias;Otros campos;Mobiliario, juegos;1;1;2;0;2;1;2;1;0;0
Asturias;Asturias;Otros campos;Otros bienes de consumo;1;0;1;0;3;0;0;0;0;0
Asturias;Asturias;Otros campos;Ingeniería civil;2;3;9;4;6;5;5;4;4;2
Extremadura;Badajoz;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;0;0;0;1;0;0;1;1;0;0
Extremadura;Badajoz;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Ingeniería eléctrica;Telecomunicaciones;0;0;0;0;1;0;0;0;0;0
Extremadura;Badajoz;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Ingeniería eléctrica;Tecnología Informática;0;0;0;0;0;0;1;0;0;1
Extremadura;Badajoz;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;1;0;0;1;0
Extremadura;Badajoz;Ingeniería eléctrica;Semiconductores;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Instrumentos;Óptica;0;0;1;0;0;0;0;0;1;0
Extremadura;Badajoz;Instrumentos;Medida;0;2;1;0;0;0;1;1;2;0
Extremadura;Badajoz;Instrumentos;Análisis de materiales biológicos;0;0;0;0;1;0;0;0;1;0
Extremadura;Badajoz;Instrumentos;Control;0;0;0;2;1;0;1;0;3;0
Extremadura;Badajoz;Instrumentos;Tecnología médica;3;0;2;0;3;2;1;2;0;1
Extremadura;Badajoz;Química;Química orgánica precisa;0;0;0;1;1;0;2;2;0;0
Extremadura;Badajoz;Química;Biotecnología;0;1;1;0;1;4;1;0;0;0
Extremadura;Badajoz;Química;Productos Farmacéuticos;0;1;1;0;0;1;0;4;0;0
Extremadura;Badajoz;Química;Química macromolecular, polímeros;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Química;Química alimenticia;0;0;5;3;0;1;2;6;3;1
Extremadura;Badajoz;Química;Química de las materias primas;0;0;1;1;1;2;1;0;0;0
Extremadura;Badajoz;Química;Materiales, metalurgia;1;1;1;0;0;1;0;1;0;0
Extremadura;Badajoz;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Química;Microestructuras y nano-tecnología;0;0;0;0;1;0;0;0;0;0
Extremadura;Badajoz;Química;Ingeniería química;0;0;0;1;0;1;0;2;0;0
Extremadura;Badajoz;Química;Tecnología ambiental;0;1;1;0;0;1;0;0;0;0
Extremadura;Badajoz;Ingeniería mecánica;Manipulación;0;1;0;1;1;1;1;2;1;0
Extremadura;Badajoz;Ingeniería mecánica;Herramientas;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Ingeniería mecánica;Motores, bombas, turbinas;1;3;0;0;1;1;0;1;0;1
Extremadura;Badajoz;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Extremadura;Badajoz;Ingeniería mecánica;Otras máquinas especiales;2;1;2;4;2;1;2;3;5;0
Extremadura;Badajoz;Ingeniería mecánica;térmicos y aparatos;0;2;0;1;1;1;0;3;0;1
Extremadura;Badajoz;Ingeniería mecánica;Elementos mecánicos;0;0;0;0;1;0;0;0;1;0
Extremadura;Badajoz;Ingeniería mecánica;Transporte;0;1;0;2;2;1;1;2;1;1
Extremadura;Badajoz;Otros campos;Mobiliario, juegos;3;1;1;3;2;2;1;2;11;0
